job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
中高级Java开发工程师	苏州迈科网络安全技术股份有限公司	10000	20000	大专	无需	无锡-滨湖区	民营公司	9
Java开发工程师	深圳市融臻科技管理有限公司	6000	10000	本科	1	深圳-福田区	民营公司	2022-01-01 04:00:37
Java资深开发工程师	上海互普网络科技有限公司	180000	360000	本科	8-9	上海	民营公司	2022-01-01 04:00:37
Java开发工程师	上海富由投资管理有限公司	15000	20000	本科	2	上海-宝山区	民营公司	2022-01-01 04:00:37
Java初级开发工程师	武汉亚洲心脏病医院	10000	15000	本科	3-4	武汉	民营公司	2022-01-01 04:00:37
中级Java开发工程师	长威信息科技发展股份有限公司	9000	14000	本科	3-4	沈阳-和平区	民营公司	2022-01-01 04:00:37
Java技术经理	中健云康（广州）物流供应链有限公司	15000	20000	本科	8-9	广州-番禺区	民营公司	2022-01-01 04:00:37
JAVA软件工程师	大连航天北斗科技有限公司	8000	10000	本科	2	大连-高新园区	民营公司	2022-01-01 04:00:37
Java开发工程师	南京博晟宇网络科技有限公司	10000	15000	本科	2	南京-鼓楼区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	北京嘉和星华科技有限公司	10000	15000	本科	3-4	北京-海淀区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	成都宜联科技有限责任公司	10000	15000	本科	5-7	成都-高新区	民营公司	2022-01-01 04:00:37
Java开发工程师	广东伊丽汇美容科技有限公司	10000	15000	本科	3-4	佛山-禅城区	民营公司	2022-01-01 04:00:37
中级JAVA软件开发工程师	上海期安智能科技有限公司	150000	200000	本科	3-4	上海-静安区	创业公司	2022-01-01 04:00:37
Java开发工程师	北京迪博风控技术有限公司	15000	20000	大专	3-4	武汉-洪山区	民营公司	2022-01-01 04:00:37
Java全栈软件工程师	浙江志库数字技术有限责任公司	10000	20000	本科	2	杭州-西湖区	民营公司	2022-01-01 04:00:37
JAVA系统架构师	广州天源信息科技股份有限公司	18000	25000	本科	5-7	广州	民营公司	2022-01-01 04:00:37
JAVA後端开发工程师	心象软件信息技术(上海)有限公司	12000	35000	本科	3-4	福州-鼓楼区	外资（非欧美）	2022-01-01 04:00:37
Java高级开发工程师	悉望数智科技（杭州）有限公司	18000	25000	本科	5-7	杭州-余杭区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海仁维软件有限公司	8000	10000	本科	1	上海-宝山区	合资	2022-01-01 04:00:37
Java开发工程师	河北微领网络科技有限公司	4000	8000	大专	1	邯郸	民营公司	2022-01-01 04:00:37
Java高级开发工程师	广州恒通信息技术有限公司	15000	20000	本科	5-7	广州-白云区	民营公司	2022-01-01 04:00:37
